filename	onset	offset	event_label
052BOxtN3G0_130000	1.053	1.576	Gunshot, gunfire
052BOxtN3G0_130000	2.636	3.572	Gunshot, gunfire
052BOxtN3G0_130000	3.77	4.735	Gunshot, gunfire
052BOxtN3G0_130000	4.919	6.039	Gunshot, gunfire
052BOxtN3G0_130000	8.955	9.779	Gunshot, gunfire
06-g5jz-OGc_20000	0.409	0.559	Gunshot, gunfire
08U71rh7cDw_5000	0.297	1.058	Gunshot, gunfire
08U71rh7cDw_5000	1.448	1.958	Gunshot, gunfire
08U71rh7cDw_5000	2.357	3.657	Gunshot, gunfire
08U71rh7cDw_5000	4.594	4.882	Gunshot, gunfire
08U71rh7cDw_5000	5.141	5.67	Gunshot, gunfire
08U71rh7cDw_5000	6.125	6.719	Gunshot, gunfire
08wHVd6o5mI_26000	0.0	8.987	Vehicle
08zVBbOVbj0_29000	0.0	2.506	Vehicle
09EElCe7ccg_0	0.589	0.807	Gunshot, gunfire
09EElCe7ccg_0	0.986	1.165	Gunshot, gunfire
09EElCe7ccg_0	7.964	8.707	Gunshot, gunfire
09EElCe7ccg_0	9.296	10.0	Gunshot, gunfire
0DVaGk7qRpg_10000	0.0	0.203	Gunshot, gunfire
0DVaGk7qRpg_10000	0.346	0.647	Gunshot, gunfire
0DVaGk7qRpg_10000	0.783	1.099	Gunshot, gunfire
0DVaGk7qRpg_10000	1.219	1.512	Gunshot, gunfire
0DVaGk7qRpg_10000	1.768	2.077	Gunshot, gunfire
0DVaGk7qRpg_10000	2.965	3.303	Gunshot, gunfire
0DVaGk7qRpg_10000	6.2	6.479	Gunshot, gunfire
0DVaGk7qRpg_10000	6.915	7.186	Gunshot, gunfire
0DVaGk7qRpg_10000	7.344	7.63	Gunshot, gunfire
0DVaGk7qRpg_10000	7.788	8.081	Gunshot, gunfire
0Dh4m64ACfk_30000	0.0	10.0	Vehicle
0E52otrC_JE_450000	0.23	0.794	Gunshot, gunfire
0E52otrC_JE_450000	1.33	1.619	Gunshot, gunfire
0E52otrC_JE_450000	1.9	2.052	Gunshot, gunfire
0E52otrC_JE_450000	2.217	2.505	Gunshot, gunfire
0E52otrC_JE_450000	5.674	5.969	Gunshot, gunfire
0EYQrIIHEiE_50000	0.0	10.0	Vehicle
0FHa462_1Mc_100000	4.643	6.322	Gunshot, gunfire
0GeStwBAMd8_3000	4.479	5.077	Gunshot, gunfire
0GqvQbY8ftc_130000	0.712	1.746	Gunshot, gunfire
0GqvQbY8ftc_130000	3.673	4.721	Gunshot, gunfire
0GqvQbY8ftc_130000	5.824	8.003	Gunshot, gunfire
0GqvQbY8ftc_130000	9.218	10.0	Gunshot, gunfire
0GxN4MOSQcQ_30000	4.408	4.977	Gunshot, gunfire
0HnFgGh5f38_30000	0.105	1.106	Gunshot, gunfire
0HnFgGh5f38_30000	4.59	5.418	Gunshot, gunfire
0HnFgGh5f38_30000	8.992	9.812	Gunshot, gunfire
0HtKsMmk9eI_30000	2.386	9.063	Vehicle
0JgjONsrTww_30000	0.0	10.0	Vehicle
0OiPtV9sd_w_30000	0.0	10.0	Vehicle
0QoChHVp634_0	7.499	9.071	Gunshot, gunfire
0S4hnlDVZ0g_0	0.147	4.0	Gunshot, gunfire
0Uvn8Kxwue0_0	1.913	2.562	Gunshot, gunfire
0V3m7qAdPQI_0	0.875	1.777	Gunshot, gunfire
0V3m7qAdPQI_0	2.445	3.108	Gunshot, gunfire
0VfSLH1v_54_40000	1.061	2.0	Gunshot, gunfire
0XPvk1ZlkBc_30000	3.193	10.0	Vehicle
0Xyq26CSflM_30000	2.184	4.502	Gunshot, gunfire
0Xyq26CSflM_30000	8.541	8.85	Gunshot, gunfire
0ZHXyHWm3Vo_380000	0.0	4.654	Vehicle
0ZHXyHWm3Vo_380000	4.961	10.0	Vehicle
0cccxpIx08w_20000	4.069	4.353	Gunshot, gunfire
0cccxpIx08w_20000	4.473	4.749	Gunshot, gunfire
0cccxpIx08w_20000	5.004	5.415	Gunshot, gunfire
0cccxpIx08w_20000	5.722	5.916	Gunshot, gunfire
0cccxpIx08w_20000	6.477	6.829	Gunshot, gunfire
0cccxpIx08w_20000	7.3	7.554	Gunshot, gunfire
0cccxpIx08w_20000	8.04	8.34	Gunshot, gunfire
0cccxpIx08w_20000	9.073	9.312	Gunshot, gunfire
0e5TVCUo3EM_130000	0.0	10.0	Vehicle
0fsrc5V8120_30000	9.744	10.0	Gunshot, gunfire
0gFskEhiWLw_150000	7.386	10.0	Vehicle
0hPViDO-Wb4_260000	1.693	2.385	Gunshot, gunfire
0hPViDO-Wb4_260000	3.318	3.883	Gunshot, gunfire
0hPViDO-Wb4_260000	4.635	5.109	Gunshot, gunfire
0hPViDO-Wb4_260000	9.586	10.0	Gunshot, gunfire
0hdanhk-EdE_50000	0.478	1.282	Gunshot, gunfire
0hdanhk-EdE_50000	1.467	1.612	Gunshot, gunfire
0hdanhk-EdE_50000	1.797	1.949	Gunshot, gunfire
0hdanhk-EdE_50000	2.107	2.581	Gunshot, gunfire
0hdanhk-EdE_50000	2.856	3.309	Gunshot, gunfire
0hdanhk-EdE_50000	3.598	4.32	Gunshot, gunfire
0hdanhk-EdE_50000	4.567	10.0	Gunshot, gunfire
0hm7a0S8bjc_30000	0.0	10.0	Vehicle
0nKH0k7T84E_30000	0.0	10.0	Vehicle
0oO-aBFfjKw_210000	1.355	3.031	Gunshot, gunfire
0oO-aBFfjKw_210000	7.989	8.408	Gunshot, gunfire
0oO-aBFfjKw_210000	9.623	10.0	Gunshot, gunfire
0q6o96Jp-jQ_30000	0.0	1.145	Gunshot, gunfire
0rw4B9Xze28_40000	2.179	2.43	Gunshot, gunfire
0rw4B9Xze28_40000	2.737	2.975	Gunshot, gunfire
0rw4B9Xze28_40000	3.45	3.687	Gunshot, gunfire
0rw4B9Xze28_40000	4.623	5.447	Gunshot, gunfire
0rw4B9Xze28_40000	6.55	7.598	Gunshot, gunfire
0rw4B9Xze28_40000	8.673	10.0	Gunshot, gunfire
0sjF_jG4-B4_30000	0.0	10.0	Vehicle
0twY6Zzf1C8_30000	3.978	5.743	Gunshot, gunfire
0vn3bMQDu7s_430000	4.993	5.424	Gunshot, gunfire
0vn3bMQDu7s_430000	5.659	5.919	Gunshot, gunfire
0vn3bMQDu7s_430000	6.147	6.699	Gunshot, gunfire
0vn3bMQDu7s_430000	7.512	7.934	Gunshot, gunfire
0wOWAMJAYFo_50000	1.76	2.221	Gunshot, gunfire
12THdLIqztY_30000	0.008	10.0	Vehicle
12Z0Vcadx-k_290000	2.78	3.402	Gunshot, gunfire
12Z0Vcadx-k_290000	3.717	4.071	Gunshot, gunfire
13NrK_WGPi8_40000	0.0	0.086	Gunshot, gunfire
13NrK_WGPi8_40000	0.21	0.299	Gunshot, gunfire
13NrK_WGPi8_40000	0.56	0.65	Gunshot, gunfire
13NrK_WGPi8_40000	0.794	0.897	Gunshot, gunfire
13NrK_WGPi8_40000	1.062	1.509	Gunshot, gunfire
15KdyDOKnZU_450000	7.544	8.354	Gunshot, gunfire
17EcbuORDzs_22000	0.0	1.478	Gunshot, gunfire
17XKWrRuOnk_40000	0.0	2.084	Vehicle
19mo35ZRcMs_30000	0.0	10.0	Vehicle
1CtHakOLTcw_450000	5.139	5.469	Gunshot, gunfire
1CtHakOLTcw_450000	6.921	8.28	Gunshot, gunfire
1Ie6kJvGKcg_7000	0.363	2.55	Gunshot, gunfire
1Le54_8tFaU_30000	5.575	8.844	Gunshot, gunfire
1VtkL0unVvQ_30000	0.0	10.0	Vehicle
1dr8P7o36lY_210000	9.142	9.583	Gunshot, gunfire
1eliv7KsLcc_19000	0.234	0.752	Gunshot, gunfire
1h6KMHwfksw_10000	1.307	1.422	Gunshot, gunfire
1h6KMHwfksw_10000	1.548	5.321	Gunshot, gunfire
1h6KMHwfksw_10000	6.411	7.087	Gunshot, gunfire
1h6KMHwfksw_10000	8.727	10.0	Gunshot, gunfire
1jTnQHigwJQ_30000	0.0	2.406	Vehicle
1jxYvebUa7M_310000	7.551	8.055	Gunshot, gunfire
1k1Yb5Cc9D0_3000	0.0	9.54	Vehicle
1kjnqM-ptrk_110000	0.911	1.942	Gunshot, gunfire
1lEE3txlZqU_30000	0.483	2.512	Gunshot, gunfire
1oT8fw1c57Q_560000	3.823	4.665	Gunshot, gunfire
1oT8fw1c57Q_560000	8.987	9.729	Gunshot, gunfire
1omm14ZmtZU_30000	0.0	4.621	Vehicle
1paIFnsR1RA_240000	8.168	9.117	Gunshot, gunfire
1rI54zvLkm0_30000	0.0	10.0	Vehicle
1tvqO_d6mkE_150000	8.63	10.0	Gunshot, gunfire
1uMkgVRURSg_70000	0.0	10.0	Vehicle
1wsyT7v1BqA_230000	0.0	0.214	Gunshot, gunfire
1xbEKXK4t8Y_60000	7.287	7.994	Gunshot, gunfire
1xbEKXK4t8Y_60000	8.473	10.0	Gunshot, gunfire
1yZt_6x9Vno_440000	0.233	0.948	Gunshot, gunfire
1yZt_6x9Vno_440000	1.655	2.686	Gunshot, gunfire
1yZt_6x9Vno_440000	3.19	3.589	Gunshot, gunfire
1yZt_6x9Vno_440000	5.357	7.254	Gunshot, gunfire
1yZt_6x9Vno_440000	7.562	8.585	Gunshot, gunfire
1yZt_6x9Vno_440000	8.796	9.601	Gunshot, gunfire
1yZt_6x9Vno_440000	9.834	10.0	Gunshot, gunfire
1yd_LqzcP7g_440000	0.0	7.087	Vehicle
1z58KUk5C4k_10000	0.497	0.918	Gunshot, gunfire
1z58KUk5C4k_10000	1.648	1.949	Gunshot, gunfire
1z58KUk5C4k_10000	6.968	7.314	Gunshot, gunfire
22q5tKoKoYE_40000	4.258	7.347	Gunshot, gunfire
24Dk83zCBZs_30000	0.0	10.0	Vehicle
28wmLaTBuFs_14000	0.0	3.298	Vehicle
29Yxdsg6AIs_120000	0.964	1.403	Gunshot, gunfire
29Yxdsg6AIs_120000	3.06	3.279	Gunshot, gunfire
29Yxdsg6AIs_120000	3.499	3.693	Gunshot, gunfire
29Yxdsg6AIs_120000	3.921	4.132	Gunshot, gunfire
29Yxdsg6AIs_120000	4.546	4.782	Gunshot, gunfire
29Yxdsg6AIs_120000	5.009	5.237	Gunshot, gunfire
29Yxdsg6AIs_120000	6.431	6.691	Gunshot, gunfire
29Yxdsg6AIs_120000	6.91	9.169	Gunshot, gunfire
29fSkYM53Pk_10000	5.619	6.086	Gunshot, gunfire
2AFypCVIaec_70000	0.0	10.0	Vehicle
2BMCENw8D2Y_60000	1.273	1.923	Gunshot, gunfire
2BMCENw8D2Y_60000	2.816	3.434	Gunshot, gunfire
2BMCENw8D2Y_60000	4.457	5.034	Gunshot, gunfire
2BMCENw8D2Y_60000	5.529	6.114	Gunshot, gunfire
2F9_AtoS7eE_0	0.512	1.488	Vehicle
2K32pH5eTOY_120000	0.092	1.536	Gunshot, gunfire
2K32pH5eTOY_120000	1.835	2.144	Gunshot, gunfire
2K32pH5eTOY_120000	2.511	2.97	Gunshot, gunfire
2K32pH5eTOY_120000	3.268	3.601	Gunshot, gunfire
2K32pH5eTOY_120000	5.356	5.7	Gunshot, gunfire
2K32pH5eTOY_120000	6.158	6.491	Gunshot, gunfire
2K32pH5eTOY_120000	6.835	7.133	Gunshot, gunfire
2K32pH5eTOY_120000	7.305	7.638	Gunshot, gunfire
2K32pH5eTOY_120000	8.05	8.784	Gunshot, gunfire
2K32pH5eTOY_120000	9.014	9.713	Gunshot, gunfire
2KikDGJ2OfI_20000	9.803	10.0	Gunshot, gunfire
2Mnl9foj-Ok_30000	5.583	6.858	Gunshot, gunfire
2Mnl9foj-Ok_30000	7.15	7.228	Gunshot, gunfire
2NoH-3pRYJ8_30000	8.649	9.039	Gunshot, gunfire
2QX7_GceNp4_40000	0.168	0.457	Gunshot, gunfire
2QX7_GceNp4_40000	0.608	0.808	Gunshot, gunfire
2QX7_GceNp4_40000	1.0	1.488	Gunshot, gunfire
2QX7_GceNp4_40000	1.804	2.292	Gunshot, gunfire
2QX7_GceNp4_40000	2.815	3.364	Gunshot, gunfire
2QX7_GceNp4_40000	3.632	4.189	Gunshot, gunfire
2QX7_GceNp4_40000	4.519	4.835	Gunshot, gunfire
2QX7_GceNp4_40000	6.382	6.705	Gunshot, gunfire
2QX7_GceNp4_40000	7.096	7.516	Gunshot, gunfire
2R-LER60cTU_30000	0.472	0.701	Gunshot, gunfire
2STyPkuwzDg_30000	6.986	7.701	Gunshot, gunfire
2TK9q8qFqVE_350000	1.409	2.055	Gunshot, gunfire
2Vjn-3LY-2o_250000	0.0	9.213	Vehicle
2YiezvYY5K4_5000	0.0	1.03	Gunshot, gunfire
2bNWbljLJNE_80000	6.276	6.819	Gunshot, gunfire
2dC9tB7xAj4_23000	0.0	0.163	Gunshot, gunfire
2dC9tB7xAj4_23000	0.336	0.518	Gunshot, gunfire
2dC9tB7xAj4_23000	0.767	1.026	Gunshot, gunfire
2dC9tB7xAj4_23000	1.496	1.774	Gunshot, gunfire
2dC9tB7xAj4_23000	2.311	2.532	Gunshot, gunfire
2dC9tB7xAj4_23000	2.935	3.126	Gunshot, gunfire
2dC9tB7xAj4_23000	3.376	3.606	Gunshot, gunfire
2dC9tB7xAj4_23000	4.325	4.766	Gunshot, gunfire
2dC9tB7xAj4_23000	5.131	5.284	Gunshot, gunfire
2dC9tB7xAj4_23000	5.438	5.658	Gunshot, gunfire
2eCosI2wp9M_0	0.0	10.0	Vehicle
2fmczltF7B0_30000	0.0	10.0	Vehicle
2iv0PkSuGoU_30000	0.0	10.0	Vehicle
2kNQ-S5eNK4_320000	3.67	4.186	Gunshot, gunfire
2kNQ-S5eNK4_320000	4.553	4.874	Gunshot, gunfire
2oFt_kjTGsM_480000	9.543	10.0	Gunshot, gunfire
2sdRiS7rMI0_80000	6.01	7.083	Gunshot, gunfire
2sgD10vYVJc_15000	2.087	2.245	Gunshot, gunfire
2tVNNUV8KRE_240000	3.729	5.043	Gunshot, gunfire
2u7McELg5SM_30000	2.804	3.266	Gunshot, gunfire
2u7McELg5SM_30000	6.483	7.02	Gunshot, gunfire
2vOGX0yELU0_80000	0.0	1.628	Gunshot, gunfire
2vOGX0yELU0_80000	2.798	3.255	Gunshot, gunfire
2vOGX0yELU0_80000	3.454	4.212	Gunshot, gunfire
2vOGX0yELU0_80000	5.729	6.768	Gunshot, gunfire
2xIw_Tzw2tw_180000	0.0	0.785	Gunshot, gunfire
2xIw_Tzw2tw_180000	9.916	10.0	Gunshot, gunfire
3-LfXqL9-hI_0	3.546	4.423	Gunshot, gunfire
3-XbS8_bNBk_30000	0.0	10.0	Vehicle
34CL8pI4GwQ_0	0.338	3.55	Vehicle
35RyhBpdkg8_170000	0.0	8.261	Vehicle
36XWnRAV9Q8_30000	0.0	10.0	Vehicle
37jsHegYfEw_18000	0.0	9.609	Vehicle
3AWUaEtoosk_30000	0.098	1.536	Gunshot, gunfire
3AWUaEtoosk_30000	1.83	2.109	Gunshot, gunfire
3AWUaEtoosk_30000	3.492	3.813	Gunshot, gunfire
3AWUaEtoosk_30000	3.953	4.539	Gunshot, gunfire
3AWUaEtoosk_30000	4.888	5.335	Gunshot, gunfire
3AWUaEtoosk_30000	5.615	6.02	Gunshot, gunfire
3G5MLeZpyQc_30000	4.717	10.0	Vehicle
3J01Z_RSJms_180000	9.071	9.441	Gunshot, gunfire
3MEtBdBU2x0_7000	0.752	1.475	Gunshot, gunfire
3Mif39PORh8_30000	0.0	10.0	Vehicle
3Otx5V-Tj1I_30000	9.343	9.604	Gunshot, gunfire
3OyRHkt-0xA_30000	0.0	10.0	Vehicle
3P1DYGzhM7M_20000	7.654	10.0	Vehicle
3RfEGjjtGm0_30000	0.0	10.0	Vehicle
3Rp7xAqZd1g_19000	0.0	9.693	Vehicle
3VlHaegE0g8_60000	1.453	2.472	Gunshot, gunfire
3VlHaegE0g8_60000	2.989	3.38	Gunshot, gunfire
3VlHaegE0g8_60000	3.911	4.19	Gunshot, gunfire
3VlHaegE0g8_60000	4.804	5.126	Gunshot, gunfire
3VlHaegE0g8_60000	5.684	6.075	Gunshot, gunfire
3YouGI9l42Q_30000	0.0	10.0	Vehicle
3ZTApAnorsE_30000	1.583	2.016	Gunshot, gunfire
3ZiDyFpNbGc_30000	0.0	10.0	Vehicle
3_e4TDm5MBw_30000	0.0	10.0	Vehicle
3cvQW88hV2Y_30000	0.0	10.0	Vehicle
3fwUxTlC7wI_500000	9.07	9.484	Gunshot, gunfire
3h7aihOKzb4_0	8.583	9.15	Gunshot, gunfire
3hF8yQ6bFlY_30000	0.0	0.34	Gunshot, gunfire
3hF8yQ6bFlY_30000	6.402	6.67	Gunshot, gunfire
3hF8yQ6bFlY_30000	6.808	7.055	Gunshot, gunfire
3hF8yQ6bFlY_30000	7.22	7.412	Gunshot, gunfire
3hF8yQ6bFlY_30000	7.681	7.962	Gunshot, gunfire
3hF8yQ6bFlY_30000	8.155	8.354	Gunshot, gunfire
3hF8yQ6bFlY_30000	9.364	9.591	Gunshot, gunfire
3i0DMLppaH0_10000	0.557	1.42	Gunshot, gunfire
3i0DMLppaH0_10000	5.804	7.413	Gunshot, gunfire
3i0DMLppaH0_10000	7.613	8.644	Gunshot, gunfire
3i0DMLppaH0_10000	8.906	10.0	Gunshot, gunfire
3iQ-UUE8MZE_30000	3.352	6.171	Gunshot, gunfire
3kicHA7UyBU_390000	9.78	10.0	Gunshot, gunfire
3lWmQQZIQZY_190000	2.28	2.899	Gunshot, gunfire
3lWmQQZIQZY_190000	9.362	10.0	Gunshot, gunfire
3m-8aqTP140_30000	7.95	8.614	Gunshot, gunfire
3mMOUNKFqW8_210000	2.531	2.957	Gunshot, gunfire
3nctZAcB24g_500000	0.0	10.0	Vehicle
3nttMKsXNuY_440000	0.0	0.314	Gunshot, gunfire
3nttMKsXNuY_440000	4.912	5.651	Gunshot, gunfire
3tK0jxj9cRc_30000	0.0	10.0	Vehicle
3z4QQHHDmBg_40000	0.0	1.103	Gunshot, gunfire
3z4QQHHDmBg_40000	2.277	4.05	Gunshot, gunfire
4-3Y54WL5sE_150000	1.672	2.67	Gunshot, gunfire
4-3Y54WL5sE_150000	3.799	4.717	Gunshot, gunfire
4-3Y54WL5sE_150000	5.449	6.259	Gunshot, gunfire
403d_pFpvx4_26000	0.007	9.805	Vehicle
40LIANugCCY_29000	0.0	2.247	Vehicle
40WEUGbeZsU_30000	0.0	10.0	Vehicle
40WEUGbeZsU_30000	9.493	10.0	Gunshot, gunfire
40jj-n0eCI4_30000	7.386	7.64	Gunshot, gunfire
41buTewbQUg_22000	0.0	9.231	Vehicle
47ZpcppKac4_30000	4.535	5.087	Vehicle
47meL2I3ZRI_30000	5.354	8.063	Gunshot, gunfire
48KXI_zUOWU_40000	3.448	4.45	Gunshot, gunfire
48KXI_zUOWU_40000	4.596	4.72	Gunshot, gunfire
48KXI_zUOWU_40000	4.817	5.156	Gunshot, gunfire
